texte,centre_x,centre_y,centre_z
0A : 33.6 m²,0.0,-8.65,0.7749999999999999
0B : 18.0 m²,0.0,-3.65,1.0750000000000002
0C : 30.0 m²,0.0,0.95,0.925
0D : 44.4 m²,0.0,7.75,1.125
0E : 14.0 m²,-5.6,-9.7,1.425
0F : 11.2 m²,-5.6,-6.45,1.425
0G : 22.05 m²,-9.499,-8.3,1.45
1AA : 13.05 m²,-1.65,-9.2,4.0
1AB : 17.36 m²,1.45,-8.65,4.0
1AC : 3.19 m²,-1.65,-6.3,4.0
1B : 18.0 m²,0.0,-3.75,4.25
1C : 36.0 m²,0.0,1.35,3.8750000000000004
1D : 38.4 m²,0.0,8.3,3.925
1E : 30.75 m²,-7.45,-9.4,4.45
1FA : 8.8 m²,-5.7,-6.15,4.35
1FB : 7.7 m²,-9.55,-6.15,4.35
2AA : 13.05 m²,-1.65,-9.2,7.45
2AB : 17.36 m²,1.45,-8.65,7.45
2AC : 3.41 m²,-1.75,-6.3,7.45
2B : 18.0 m²,0.0,-3.75,7.45
2C : 36.0 m²,0.0,1.35,7.2250000000000005
2D : 38.4 m²,0.0,8.15,7.175
